page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2021,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2020,132.882011896128,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2019,130.147126997793,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2018,127.528413702912,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2017,124.980661904803,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2016,122.556947434418,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2015,120.234341109847,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2022,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2021,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2020,57.0474517980506,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2019,55.7308883596988,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2018,54.4504391322873,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2017,53.211729679853,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2016,52.0016863136645,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XI,IDA only,IDX,2015,50.8364112129832,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2022,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2021,NA,,,0,2023-08-31
